lambda n k
2.466400000000000000e+04 5.537100000000000355e-01 1.207499999999999929e+01
2.482100000000000000e+04 9.274499999999999966e-01 1.440700000000000003e+01
2.497800000000000000e+04 2.016399999999999970e+00 1.868100000000000094e+01
2.513600000000000000e+04 1.002200000000000024e+01 2.963800000000000168e+01
2.529300000000000000e+04 2.819699999999999918e+01 7.826100000000000279e+00
2.545000000000000000e+04 1.847400000000000020e+01 1.841299999999999937e+00
2.560800000000000000e+04 1.465300000000000047e+01 8.931400000000000450e-01
2.576500000000000000e+04 1.253999999999999915e+01 5.482099999999999751e-01
2.592200000000000000e+04 1.116499999999999915e+01 3.800799999999999734e-01
2.607900000000000000e+04 1.018599999999999994e+01 2.837899999999999867e-01
2.623700000000000000e+04 9.445299999999999585e+00 2.227999999999999980e-01
2.639400000000000000e+04 8.860200000000000742e+00 1.811500000000000055e-01
2.655100000000000000e+04 8.383699999999999264e+00 1.512199999999999933e-01
2.670900000000000000e+04 7.986600000000000144e+00 1.288600000000000023e-01
2.686600000000000000e+04 7.649499999999999744e+00 1.116299999999999931e-01
2.702300000000000000e+04 7.359200000000000408e+00 9.804300000000000515e-02
2.718000000000000000e+04 7.105999999999999872e+00 8.709200000000000275e-02
2.733800000000000000e+04 6.882799999999999585e+00 7.810200000000000475e-02
2.749500000000000000e+04 6.684099999999999930e+00 7.060900000000000509e-02
2.765200000000000000e+04 6.506000000000000227e+00 6.428899999999999892e-02
2.781000000000000000e+04 6.345600000000000129e+00 5.891300000000000009e-02
2.796700000000000000e+04 6.199799999999999756e+00 5.427400000000000280e-02
2.812400000000000000e+04 6.066900000000000404e+00 5.024800000000000100e-02
2.828100000000000000e+04 5.945100000000000051e+00 4.672500000000000264e-02
2.843900000000000000e+04 5.832900000000000418e+00 4.361799999999999705e-02
2.859600000000000000e+04 5.729300000000000281e+00 4.086399999999999755e-02
2.875300000000000000e+04 5.633200000000000429e+00 3.840699999999999670e-02
2.891100000000000000e+04 5.543899999999999828e+00 3.620299999999999907e-02
2.906800000000000000e+04 5.460600000000000342e+00 3.422000000000000042e-02
2.922500000000000000e+04 5.382699999999999818e+00 3.242500000000000243e-02
2.938200000000000000e+04 5.309599999999999653e+00 3.079300000000000093e-02
2.954000000000000000e+04 5.240999999999999659e+00 2.930699999999999972e-02
2.969700000000000000e+04 5.176400000000000112e+00 2.794800000000000062e-02
